Microsoft Windows [Version 10.0.19045.6216]
(c) Microsoft Corporation. All rights reserved.

D:\democ2\gitchatc2\bin\Debug>cmd /k tasklist

Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   5100 Services                   0      4,488 K
dllhost.exe                   5428 Services                   0      9,500 K
svchost.exe                   5524 Services                   0      5,220 K
SearchIndexer.exe             5756 Services                   0     46,484 K
AggregatorHost.exe            3200 Services                   0      6,508 K
NisSrv.exe                    6216 Services                   0      8,676 K
svchost.exe                   6276 Services                   0     21,204 K
MoUsoCoreWorker.exe           6348 Services                   0     35,416 K
svchost.exe                   7052 Services                   0      7,524 K
sihost.exe                    4760 Console                    1     28,420 K
svchost.exe                   4920 Console                    1     17,404 K
igfxEM.exe                    4816 Console                    1      9,704 K
svchost.exe                   6500 Console                    1     34,384 K
taskhostw.exe                 5948 Console                    1     17,004 K
svchost.exe                   1384 Services                   0     18,904 K
svchost.exe                   6672 Services                   0      4,540 K
ctfmon.exe                    6724 Console                    1     19,544 K
svchost.exe                    760 Services                   0     11,652 K
explorer.exe                  1972 Console                    1    206,580 K
svchost.exe                   7480 Console                    1     20,320 K
dllhost.exe                   7616 Console                    1     11,092 K
svchost.exe                   7816 Console                    1     21,576 K
StartMenuExperienceHost.e     7532 Console                    1     80,952 K
RuntimeBroker.exe             7632 Console                    1     31,512 K
SearchApp.exe                 8280 Console                    1    119,020 K
RuntimeBroker.exe             8480 Console                    1     45,180 K
svchost.exe                   9088 Services                   0     16,168 K
RuntimeBroker.exe             9312 Console                    1     24,716 K
svchost.exe                   9368 Services                   0      9,760 K
SecurityHealthSystray.exe    10100 Console                    1      6,040 K
SecurityHealthService.exe    10132 Services                   0     12,876 K
OneDrive.exe                 10208 Console                    1    102,520 K
openvpn-gui.exe               9720 Console                    1      9,188 K
svchost.exe                   7376 Services                   0      5,472 K
xgTrayIcon.exe                3980 Console                    1     10,480 K
vmware-tray.exe               3380 Console                    1      9,012 K
ApplicationFrameHost.exe      2472 Console                    1     29,908 K
UserOOBEBroker.exe            4208 Console                    1      7,384 K
SearchApp.exe                 6976 Console                    1     84,104 K
msedgewebview2.exe            1888 Console                    1    112,296 K
msedgewebview2.exe            5360 Console                    1      7,680 K
msedgewebview2.exe           10032 Console                    1    190,060 K
msedgewebview2.exe            3828 Console                    1     40,880 K
msedgewebview2.exe            6944 Console                    1     20,264 K
msedgewebview2.exe           10328 Console                    1    164,076 K
svchost.exe                  11260 Services                   0     13,504 K
svchost.exe                  10632 Services                   0      7,780 K
svchost.exe                  10836 Services                   0      6,324 K
ShellExperienceHost.exe      10760 Console                    1     57,004 K
RuntimeBroker.exe            10656 Console                    1     15,712 K
FileCoAuth.exe                8256 Console                    1     21,872 K
TextInputHost.exe             5464 Console                    1     45,384 K
chrome.exe                    6096 Console                    1    240,944 K
chrome.exe                    8300 Console                    1      6,336 K
chrome.exe                    8576 Console                    1    392,064 K
chrome.exe                    5852 Console                    1     59,840 K
chrome.exe                   13372 Console                    1     17,272 K
chrome.exe                   13728 Console                    1     65,336 K
chrome.exe                   13840 Console                    1    275,416 K
CompPkgSrv.exe               14240 Console                    1      6,808 K
svchost.exe                  18976 Services                   0     17,516 K
chrome.exe                    8496 Console                    1     19,968 K
chrome.exe                   19064 Console                    1     31,372 K
chrome.exe                   18436 Console                    1    106,548 K
dllhost.exe                   4692 Console                    1     11,236 K
LockApp.exe                  15272 Console                    1     62,680 K
RuntimeBroker.exe            16012 Console                    1     30,464 K
svchost.exe                    232 Services                   0      8,924 K
vmware.exe                   21760 Console                    1     71,044 K
vmware-unity-helper.exe      15468 Console                    1     17,872 K
vmware-vmx.exe               17484 Console                    1    965,820 K
mksSandbox.exe                5640 Console                    1     85,492 K
conhost.exe                  20524 Console                    1      5,652 K
tpm2emu.exe                  22584 Console                    1      8,916 K
conhost.exe                  22592 Console                    1      5,564 K
dllhost.exe                  20352 Console                    1     15,192 K
msedge.exe                   16884 Console                    1     94,776 K
msedge.exe                    7572 Console                    1     10,456 K
msedge.exe                    7488 Console                    1     36,216 K
msedge.exe                   10060 Console                    1     36,612 K
msedge.exe                   20856 Console                    1     19,852 K
svchost.exe                  14592 Services                   0      9,688 K
MusNotifyIcon.exe            17664 Console                    1        952 K
chrome.exe                   22436 Console                    1    188,556 K
StandardCollector.Service    19776 Services                   0    117,932 K
chrome.exe                    3968 Console                    1     46,548 K
chrome.exe                   15736 Console                    1    223,384 K
chrome.exe                    8056 Console                    1     42,748 K
chrome.exe                   18516 Console                    1    243,284 K
chrome.exe                   18444 Console                    1    159,216 K
chrome.exe                   21076 Console                    1    221,568 K
chrome.exe                   17688 Console                    1    124,680 K
chrome.exe                    3296 Console                    1    123,652 K
chrome.exe                   17580 Console                    1     51,908 K
chrome.exe                   14740 Console                    1    107,844 K
chrome.exe                   14636 Console                    1    255,436 K
devenv.exe                    7496 Console                    1  1,111,844 K
PerfWatson2.exe              20588 Console                    1     60,384 K
Microsoft.ServiceHub.Cont      716 Console                    1     83,636 K
ServiceHub.VSDetouredHost    14084 Console                    1     87,684 K
ServiceHub.IdentityHost.e    15532 Console                    1     88,644 K
ServiceHub.Host.dotnet.x6    18888 Console                    1    188,776 K
ServiceHub.RoslynCodeAnal    22476 Console                    1    277,052 K
ServiceHub.ThreadedWaitDi     4296 Console                    1    111,780 K
copilot-language-server.e    15312 Console                    1     81,108 K
conhost.exe                   1308 Console                    1      6,140 K
ServiceHub.IndexingServic     2836 Console                    1     68,656 K
ServiceHub.IntellicodeMod    19720 Console                    1    131,552 K
ServiceHub.TestWindowStor    17136 Console                    1     68,300 K
chrome.exe                    7176 Console                    1    196,704 K
SystemSettings.exe           15420 Console                    1      1,948 K
notepad.exe                  17296 Console                    1     13,904 K
ServiceHub.DataWarehouseH     1728 Console                    1    126,476 K
OneDrive.Sync.Service.exe     6556 Console                    1     13,424 K
devenv.exe                   22696 Console                    1    901,040 K
PerfWatson2.exe               5216 Console                    1     64,128 K
Microsoft.ServiceHub.Cont     7348 Console                    1     80,988 K
ServiceHub.VSDetouredHost    20812 Console                    1     87,816 K
ServiceHub.IdentityHost.e     7356 Console                    1     78,904 K
ServiceHub.Host.dotnet.x6    10800 Console                    1    235,724 K
ServiceHub.RoslynCodeAnal    14272 Console                    1    296,740 K
ServiceHub.ThreadedWaitDi    10564 Console                    1    110,892 K
ServiceHub.IntellicodeMod    23124 Console                    1    353,732 K
copilot-language-server.e     4720 Console                    1     94,856 K
conhost.exe                   7164 Console                    1      6,092 K
ServiceHub.IndexingServic     2088 Console                    1     78,600 K
ServiceHub.TestWindowStor     3164 Console                    1     66,376 K
chrome.exe                   14392 Console                    1     78,256 K
chrome.exe                   12124 Console                    1     58,036 K
msedgewebview2.exe           17448 Console                    1     21,512 K
MSBuild.exe                   7576 Console                    1     50,732 K
conhost.exe                  21296 Console                    1      7,592 K
VBCSCompiler.exe             15364 Console                    1     88,056 K
conhost.exe                  23212 Console                    1      6,920 K
ServiceHub.DataWarehouseH     9736 Console                    1    167,220 K
VsDebugConsole.exe           23544 Console                    1      5,440 K
conhost.exe                  10992 Console                    1     16,896 K
svchost.exe                  11672 Services                   0      7,616 K
msvsmon.exe                  17288 Console                    1     41,724 K
svchost.exe                   7136 Services                   0      7,996 K
PhoneExperienceHost.exe       1896 Console                    1    154,552 K
chrome.exe                   16388 Console                    1     33,516 K
SearchProtocolHost.exe       15056 Console                    1      8,656 K
msvsmon.exe                  23004 Console                    1     40,408 K
gitchatc2.exe                11780 Console                    1     34,560 K
msedgewebview2.exe            9972 Console                    1    107,948 K
msedgewebview2.exe           22844 Console                    1      8,060 K
msedgewebview2.exe            1408 Console                    1     71,948 K
msedgewebview2.exe           12832 Console                    1     33,656 K
msedgewebview2.exe            3388 Console                    1     19,404 K
msedgewebview2.exe            4308 Console                    1     62,072 K
msedgewebview2.exe           12400 Console                    1    146,476 K
VsDebugConsole.exe           20052 Console                    1      5,440 K
conhost.exe                  20520 Console                    1     16,972 K
server-side.exe              20064 Console                    1     33,460 K
SearchFilterHost.exe         18760 Services                   0      7,644 K
msedgewebview2.exe            9704 Console                    1    105,224 K
msedgewebview2.exe           20596 Console                    1      8,040 K
msedgewebview2.exe           19940 Console                    1     72,252 K
msedgewebview2.exe           13244 Console                    1     29,204 K
msedgewebview2.exe           23108 Console                    1     19,852 K
msedgewebview2.exe           21860 Console                    1    106,368 K
msedgewebview2.exe           19444 Console                    1     60,104 K
RuntimeBroker.exe            14476 Console                    1      8,712 K
RuntimeBroker.exe            18368 Console                    1     30,728 K
svchost.exe                  19140 Services                   0     17,496 K
WmiPrvSE.exe                 10736 Services                   0     12,040 K
TrustedInstaller.exe          7364 Services                   0      7,836 K
TiWorker.exe                  9916 Services                   0     10,344 K
svchost.exe                  11884 Services                   0      7,908 K
backgroundTaskHost.exe        7512 Console                    1     27,264 K
svchost.exe                  19748 Services                   0     10,176 K
cmd.exe                       6248 Console                    1      5,740 K
conhost.exe                  20400 Console                    1     11,604 K
cmd.exe                      21160 Console                    1      5,396 K
tasklist.exe                 20136 Console                    1      9,836 K

D:\democ2\gitchatc2\bin\Debug>
D:\democ2\gitchatc2\bin\Debug>
